t1,t2,style,k,r0,source
c=_,c=_,quadratic,655.20000000000005,1.3300000000000001,cvff_auto
c=_,c_,quadratic,322.80000000000001,1.5,cvff_auto
c=_,cl_,quadratic,278.51319999999998,1.732,cvff_auto
c=_,cp_,quadratic,322.80000000000001,1.5,cvff_auto
c=_,ct_,quadratic,337.64240000000001,1.425,cvff_auto
c=_,f_,quadratic,285.13200000000001,1.395,cvff_auto
c=_,h_,quadratic,361.60000000000002,1.0900000000000001,cvff_auto
c=_,i_,quadratic,233.44319999999999,2.0659999999999998,cvff_auto
c=_,n3m_,quadratic,273.71679999999998,1.4370000000000001,cvff_auto
c=_,n4m_,quadratic,273.71679999999998,1.4370000000000001,cvff_auto
c=_,n=_,quadratic,560,1.26,cvff_auto
c=_,n_,quadratic,279.07400000000001,1.4099999999999999,cvff_auto
c=_,na_,quadratic,273.71679999999998,1.4370000000000001,cvff_auto
c=_,np_,quadratic,331.87400000000002,1.4099999999999999,cvff_auto
c=_,o'_,quadratic,312.91160000000002,1.355,cvff_auto
c=_,o_,quadratic,355.19880000000001,1.3680000000000001,cvff_auto
c=_,op_,quadratic,340.51159999999999,1.355,cvff_auto
c=_,p_,quadratic,250.99879999999999,1.7250000000000001,cvff_auto
c=_,s'_,quadratic,255.78800000000001,1.7450000000000001,cvff_auto
c=_,s3e_,quadratic,254.94399999999999,1.7749999999999999,cvff_auto
c=_,s4e_,quadratic,254.94399999999999,1.7749999999999999,cvff_auto
c=_,s_,quadratic,254.94399999999999,1.7749999999999999,cvff_auto
c=_,si_,quadratic,241.04239999999999,1.835,cvff_auto
c=_,sp_,quadratic,240.988,1.7450000000000001,cvff_auto
c=_1,c=_1,quadratic,320,1.48,cvff_auto
c=_1,c=_2,quadratic,320,1.48,cvff_auto
c=_1,c=_3,quadratic,655.20000000000005,1.3300000000000001,cvff_auto
c=_1,c_,quadratic,322.80000000000001,1.5,cvff_auto
c=_1,cl_,quadratic,278.51319999999998,1.732,cvff_auto
c=_1,cp_,quadratic,322.80000000000001,1.5,cvff_auto
c=_1,ct_,quadratic,337.64240000000001,1.425,cvff_auto
c=_1,f_,quadratic,285.13200000000001,1.395,cvff_auto
c=_1,h_,quadratic,361.60000000000002,1.0900000000000001,cvff_auto
c=_1,i_,quadratic,233.44319999999999,2.0659999999999998,cvff_auto
c=_1,n3m_,quadratic,273.71679999999998,1.4370000000000001,cvff_auto
c=_1,n4m_,quadratic,273.71679999999998,1.4370000000000001,cvff_auto
c=_1,n=_1,quadratic,331.87400000000002,1.4099999999999999,cvff_auto
c=_1,n=_2,quadratic,331.87400000000002,1.4099999999999999,cvff_auto
c=_1,n=_3,quadratic,560,1.26,cvff_auto
c=_1,n_,quadratic,279.07400000000001,1.4099999999999999,cvff_auto
c=_1,na_,quadratic,273.71679999999998,1.4370000000000001,cvff_auto
c=_1,np_,quadratic,331.87400000000002,1.4099999999999999,cvff_auto
c=_1,o'_,quadratic,312.91160000000002,1.355,cvff_auto
c=_1,o_,quadratic,355.19880000000001,1.3680000000000001,cvff_auto
c=_1,op_,quadratic,340.51159999999999,1.355,cvff_auto
c=_1,p_,quadratic,250.99879999999999,1.7250000000000001,cvff_auto
c=_1,s'_,quadratic,255.78800000000001,1.7450000000000001,cvff_auto
c=_1,s3e_,quadratic,254.94399999999999,1.7749999999999999,cvff_auto
c=_1,s4e_,quadratic,254.94399999999999,1.7749999999999999,cvff_auto
c=_1,s_,quadratic,254.94399999999999,1.7749999999999999,cvff_auto
c=_1,si_,quadratic,241.04239999999999,1.835,cvff_auto
c=_1,sp_,quadratic,240.988,1.7450000000000001,cvff_auto
c=_2,c=_2,quadratic,480,1.4099999999999999,cvff_auto
c=_2,c=_3,quadratic,320,1.48,cvff_auto
c=_2,c_,quadratic,322.80000000000001,1.5,cvff_auto
c=_2,cl_,quadratic,278.51319999999998,1.732,cvff_auto
c=_2,cp_,quadratic,322.80000000000001,1.5,cvff_auto
c=_2,ct_,quadratic,337.64240000000001,1.425,cvff_auto
c=_2,f_,quadratic,285.13200000000001,1.395,cvff_auto
c=_2,h_,quadratic,361.60000000000002,1.0900000000000001,cvff_auto
c=_2,i_,quadratic,233.44319999999999,2.0659999999999998,cvff_auto
c=_2,n3m_,quadratic,273.71679999999998,1.4370000000000001,cvff_auto
c=_2,n4m_,quadratic,273.71679999999998,1.4370000000000001,cvff_auto
c=_2,n=_1,quadratic,331.87400000000002,1.4099999999999999,cvff_auto
c=_2,n=_2,quadratic,493.52679999999998,1.343,cvff_auto
c=_2,n=_3,quadratic,331.87400000000002,1.4099999999999999,cvff_auto
c=_2,n_,quadratic,279.07400000000001,1.4099999999999999,cvff_auto
c=_2,na_,quadratic,273.71679999999998,1.4370000000000001,cvff_auto
c=_2,np_,quadratic,331.87400000000002,1.4099999999999999,cvff_auto
c=_2,o'_,quadratic,312.91160000000002,1.355,cvff_auto
c=_2,o_,quadratic,355.19880000000001,1.3680000000000001,cvff_auto
c=_2,op_,quadratic,340.51159999999999,1.355,cvff_auto
c=_2,p_,quadratic,250.99879999999999,1.7250000000000001,cvff_auto
c=_2,s'_,quadratic,255.78800000000001,1.7450000000000001,cvff_auto
