t1,t2,t3,t4,style,kphi,n,phi0,source
CT3,CPH1,CPH1,HR3,torsion_1,2,2,180,
CT3,CPH1,CPH1,NR1,torsion_1,3,2,180,
CT3,CPH1,CPH1,NR2,torsion_1,3,2,180,
CT3,CPH1,CPH1,NR3,torsion_1,2.5,2,180,
CT3,CPH1,NR1,H,torsion_1,1,2,180,
CT3,CPH1,NR3,H,torsion_1,3,2,180,
CT3,CT1,C,N,torsion_1,0,1,0,
CT3,CT1,C,NH1,torsion_1,0,1,0,
CT3,CT1,C,O,torsion_1,1.3999999999999999,1,0,
CT3,CT1,NH1,H,torsion_1,0,1,0,
CT3,CT1,OH1,H,torsion_1,1.3300000000000001,1,0,
CT3,CT1,OH1,H,torsion_1,0.17999999999999999,2,0,
CT3,CT1,OH1,H,torsion_1,0.32000000000000001,3,0,
CT3,CT2,CE1,HE1,torsion_1,0.12,3,0,
CT3,CT2,CPH1,NR1,torsion_1,0.19,3,0,
CT3,CT2,CPH1,NR2,torsion_1,0.19,3,0,
CT3,CT2,CPH1,NR3,torsion_1,0.19,3,0,
CT3,CT2,CT2,CT3,torsion_1,0.14999999999999999,1,0,
CT3,CT2,NH1,H,torsion_1,0,1,0,
CT3,CT2,OH1,H,torsion_1,1.3,1,0,
CT3,CT2,OH1,H,torsion_1,0.29999999999999999,2,0,
CT3,CT2,OH1,H,torsion_1,0.41999999999999998,3,0,
CT3,CT2,S,CT3,torsion_1,0.23999999999999999,1,180,
CT3,CT2,S,CT3,torsion_1,0.37,3,0,
CT3,CT2,S,HS,torsion_1,0.23999999999999999,1,0,
CT3,CT2,S,HS,torsion_1,0.14999999999999999,2,0,
CT3,CT2,S,HS,torsion_1,0.27000000000000002,3,0,
CT3,NH1,C,O,torsion_1,2.5,2,180,
CT3,OS,CD,OB,torsion_1,0.96499999999999997,1,180,
CT3,OS,CD,OB,torsion_1,3.8500000000000001,2,180,
CT3,S,CT2,HA,torsion_1,0.28000000000000003,3,0,
CT3,SM,SM,CT3,torsion_1,1,1,0,
CT3,SM,SM,CT3,torsion_1,4.0999999999999996,2,0,
CT3,SM,SM,CT3,torsion_1,0.90000000000000002,3,0,
CTL1,CTL2,CL,OSL,torsion_1,-0.14999999999999999,1,180,
CTL1,CTL2,CL,OSL,torsion_1,0.53000000000000003,2,180,
CTL1,OSL,CL,OBL,torsion_1,0.96499999999999997,1,180,
CTL1,OSL,CL,OBL,torsion_1,3.8500000000000001,2,180,
CTL2,CEL1,CEL2,HEL2,torsion_1,5.2000000000000002,2,180,
CTL2,CTL2,CEL1,HEL1,torsion_1,0.12,3,0,
CTL2,CTL2,CL,OSL,torsion_1,-0.14999999999999999,1,180,
CTL2,CTL2,CL,OSL,torsion_1,0.53000000000000003,2,180,
CTL2,CTL2,CTL2,CTL2,torsion_1,0.10000000000000001,2,180,
CTL2,CTL2,CTL2,CTL2,torsion_1,0.14999999999999999,4,0,
CTL2,CTL2,CTL2,CTL2,torsion_1,0.10000000000000001,6,180,
CTL2,CTL2,CTL2,CTL3,torsion_1,0.10000000000000001,2,180,
CTL2,CTL2,CTL2,CTL3,torsion_1,0.14999999999999999,4,0,
CTL2,CTL2,CTL2,CTL3,torsion_1,0.10000000000000001,6,180,
CTL2,OSL,CL,OBL,torsion_1,0.96499999999999997,1,180,
CTL2,OSL,CL,OBL,torsion_1,3.8500000000000001,2,180,
CTL2,OSL,PL,O2L,torsion_1,0.10000000000000001,3,0,
CTL2,OSL,PL,OHL,torsion_1,0.94999999999999996,2,0,
CTL2,OSL,PL,OHL,torsion_1,0.5,3,0,
CTL2,OSL,PL,OSL,torsion_1,1.2,1,180,
CTL2,OSL,PL,OSL,torsion_1,0.10000000000000001,2,180,
CTL2,OSL,PL,OSL,torsion_1,0.10000000000000001,3,180,
CTL2,OSL,SL,O2L,torsion_1,0,3,0,
CTL3,CEL1,CEL1,HEL1,torsion_1,1,2,180,
CTL3,CEL1,CEL2,HEL2,torsion_1,5.2000000000000002,2,180,
CTL3,CTL2,CEL1,HEL1,torsion_1,0.12,3,0,
CTL3,CTL2,CL,OSL,torsion_1,-0.14999999999999999,1,180,
CTL3,CTL2,CL,OSL,torsion_1,0.53000000000000003,2,180,
CTL3,CTL2,CTL2,CTL3,torsion_1,0.10000000000000001,2,180,
CTL3,CTL2,CTL2,CTL3,torsion_1,0.14999999999999999,4,0,
CTL3,CTL2,CTL2,CTL3,torsion_1,0.10000000000000001,6,180,
CTL3,OSL,CL,OBL,torsion_1,0.96499999999999997,1,180,
CTL3,OSL,CL,OBL,torsion_1,3.8500000000000001,2,180,
CTL3,OSL,PL,O2L,torsion_1,0.10000000000000001,3,0,
CTL3,OSL,PL,OHL,torsion_1,0.94999999999999996,2,0,
CTL3,OSL,PL,OHL,torsion_1,0.5,3,0,
CTL3,OSL,PL,OSL,torsion_1,1.2,1,180,
CTL3,OSL,PL,OSL,torsion_1,0.10000000000000001,2,180,
CTL3,OSL,PL,OSL,torsion_1,0.10000000000000001,3,180,
CTL3,OSL,SL,O2L,torsion_1,0,3,0,
CY,CA,NY,H,torsion_1,0.80000000000000004,2,180,
CY,CPT,CA,HA,torsion_1,4,2,180,
CY,CPT,CA,HP,torsion_1,3,2,180,
CY,CPT,CPT,NY,torsion_1,5,2,180,
H,NH1,C,O,torsion_1,2.5,2,180,
H,NH1,CT1,HB,torsion_1,0,1,0,
H,NH1,CT2,HA,torsion_1,0,3,0,
H,NH1,CT2,HB,torsion_1,0,1,0,
H,NH1,CT3,HA,torsion_1,0,3,0,
H,NH1,CT3,HB,torsion_1,0,1,0,
H,NH2,CC,HA,torsion_1,1.3999999999999999,2,180,
H,NH2,CC,O,torsion_1,1.3999999999999999,2,180,
H,NR1,CPH1,HR3,torsion_1,1,2,180,
H,NR1,CPH2,HR1,torsion_1,1,2,180,
H,NR1,CPH2,NR2,torsion_1,1,2,180,
H,NR3,CPH1,HR1,torsion_1,3,2,180,
H,NR3,CPH2,HR2,torsion_1,0,2,180,
H,NR3,CPH2,NR3,torsion_1,1.3999999999999999,2,180,
H,NY,CA,HA,torsion_1,1,2,180,
H,NY,CA,HP,torsion_1,0.40000000000000002,2,180,
HA,CA,CA,HA,torsion_1,2.5,2,180,
HA,CA,CPT,NY,torsion_1,4,2,180,
HA,CA,CY,HA,torsion_1,1.2,2,180,
HA,CP3,NP,HC,torsion_1,0.080000000000000002,3,0,
HA,CS,CT3,HA,torsion_1,0.16,3,0,
HA,CT2,C,NH1,torsion_1,0,3,0,
HA,CT2,C,O,torsion_1,0,3,180,
HA,CT2,CC,NH2,torsion_1,0,3,180,
HA,CT2,CC,O,torsion_1,0,3,180,
HA,CT2,CE1,HE1,torsion_1,0,3,0,
HA,CT2,CPH1,NR1,torsion_1,0.19,3,0,
HA,CT2,CPH1,NR2,torsion_1,0.19,3,0,
HA,CT2,CPH1,NR3,torsion_1,0.19,3,0,
HA,CT2,CT2,S,torsion_1,0.01,3,0,
HA,CT2,CT2,SM,torsion_1,0.01,3,0,
HA,CT2,NH2,HC,torsion_1,0.11,3,0,
HA,CT2,S,HS,torsion_1,0.20000000000000001,3,0,
HA,CT2,SM,SM,torsion_1,0.158,3,0,
HA,CT3,C,N,torsion_1,0,1,0,
HA,CT3,C,NH1,torsion_1,0,3,0,
HA,CT3,C,O,torsion_1,0,3,180,
HA,CT3,CE1,HE1,torsion_1,0,3,0,
HA,CT3,CPH1,NR1,torsion_1,0.19,3,0,
HA,CT3,CPH1,NR2,torsion_1,0.19,3,0,
HA,CT3,CPH1,NR3,torsion_1,0.19,3,0,
HA,CT3,CS,SS,torsion_1,0.14999999999999999,3,0,
HA,CT3,S,HS,torsion_1,0.20000000000000001,3,0,
HA,CT3,SM,SM,torsion_1,0.158,3,0,
HA,CY,CA,NY,torsion_1,3.5,2,180,
HAL2,CTL2,CEL1,HEL1,torsion_1,0,3,0,
HAL2,CTL2,CL,OBL,torsion_1,0,6,180,
HAL2,CTL2,CL,OHL,torsion_1,0,6,180,
HAL2,CTL2,CL,OSL,torsion_1,0,6,180,
HAL3,CTL3,CEL1,HEL1,torsion_1,0,3,0,
HAL3,CTL3,CL,OBL,torsion_1,0,6,180,
HAL3,CTL3,CL,OHL,torsion_1,0,6,180,
HAL3,CTL3,CL,OSL,torsion_1,0,6,180,
HAL3,CTL3,OSL,SL,torsion_1,0,3,0,
HB,CP1,C,N,torsion_1,0.40000000000000002,1,180,
HB,CP1,C,N,torsion_1,0.59999999999999998,2,0,
HB,CP1,C,NH1,torsion_1,0.40000000000000002,1,180,
