t1,t2,t3,t4,style,kphi,n,phi0,source
*,np_,si_,*,torsion_1,0.25,2,180,cvff_auto
*,np_,sp_,*,torsion_1,10,2,180,cvff_auto
*,nt,o,*,torsion_1,0,0,0,cvff
*,nt,s,*,torsion_1,0,0,0,cvff
*,o,p,*,torsion_1,0.75,3,0,cvff
*,o_,np_,h_,torsion_1,0.5,2,180,cvff_auto
*,o_,o_,*,torsion_1,5,3,0,cvff_auto
*,o_,p_,*,torsion_1,0.375,3,0,cvff_auto
*,o_,s_,*,torsion_1,5,3,0,cvff_auto
*,o_,si_,*,torsion_1,0.33329999999999999,3,0,cvff_auto
*,oap1,pap,*,torsion_1,0,2,0,cvff
*,oc23,sc4,*,torsion_1,0,2,0,cvff
*,oc23,sy1,*,torsion_1,0,2,0,cvff
*,oc23,sy2,*,torsion_1,0,2,0,cvff
*,op_,np_,h_,torsion_1,5.5,2,180,cvff_auto
*,oy1,sy1,*,torsion_1,0,3,0,cvff
*,oy1,sy2,*,torsion_1,0,3,0,cvff
*,oy2,sy1,*,torsion_1,0,3,0,cvff
*,oy2,sy2,*,torsion_1,0,3,0,cvff
*,oy3,sy1,*,torsion_1,0,3,0,cvff
*,oy3,sy2,*,torsion_1,0,3,0,cvff
*,oy4,sy1,*,torsion_1,0,3,0,cvff
*,oy5,sy2,*,torsion_1,0,3,0,cvff
*,oy7,sy1,*,torsion_1,0,3,0,cvff
*,oy8,sy2,*,torsion_1,0,3,0,cvff
*,oz,sz,*,torsion_1,1,3,0,cvff
*,p_,s_,*,torsion_1,0.375,3,0,cvff_auto
*,p_,si_,*,torsion_1,0,3,0,cvff_auto
*,s,s,*,torsion_1,5.5,2,0,cvff
*,s_,np_,h_,torsion_1,0.5,2,180,cvff_auto
*,s_,s_,*,torsion_1,5.5,2,0,cvff_auto
*,s_,si_,*,torsion_1,0.23330000000000001,3,0,cvff_auto
*,si_,np_,h_,torsion_1,0.125,2,180,cvff_auto
*,si_,si_,*,torsion_1,0.16669999999999999,3,0,cvff_auto
*,sp_,np_,h_,torsion_1,5.5,2,180,cvff_auto
