t1,t2,delta_ij,delta_ji
n=2,n4,0.088300000000000003,0.16170000000000001
n=2,nt,0.1186,-0.1186
n=2,o,-0.043200000000000002,0.043200000000000002
n=2,oh,-0.1421,0.1421
n=2,oz,-0.043200000000000002,0.043200000000000002
n=2,op,0.16839999999999999,-0.16839999999999999
n=2,o',0.16839999999999999,-0.16839999999999999
n=2,s,-0.17549999999999999,0.17549999999999999
n=2,sh,-0.22140000000000001,0.22140000000000001
n=2,sp,-0.1346,0.1346
n=2,s',-0.1346,0.1346
n=2,p,-0.33589999999999998,0.33589999999999998
n=2,h,-0.32779999999999998,0.32779999999999998
n=2,f,0.073099999999999998,-0.073099999999999998
n=2,cl,-0.089700000000000002,0.089700000000000002
n=2,br,-0.14219999999999999,0.14219999999999999
n=2,i,-0.15540000000000001,0.15540000000000001
n=2,si,-0.43669999999999998,0.43669999999999998
np,np,0,0
np,n4,0.088300000000000003,0.16170000000000001
np,nt,0.1186,-0.1186
np,o,-0.043200000000000002,0.043200000000000002
np,oh,-0.1421,0.1421
np,oz,-0.043200000000000002,0.043200000000000002
np,op,0.16839999999999999,-0.16839999999999999
np,o',0.16839999999999999,-0.16839999999999999
np,o-,0.16839999999999999,-0.16839999999999999
np,s,-0.17549999999999999,0.17549999999999999
np,sh,-0.22140000000000001,0.22140000000000001
np,sp,-0.1346,0.1346
np,s',-0.1346,0.1346
np,p,-0.33589999999999998,0.33589999999999998
np,h,-0.32779999999999998,0.32779999999999998
np,f,0.073099999999999998,-0.073099999999999998
np,cl,-0.089700000000000002,0.089700000000000002
np,br,-0.14219999999999999,0.14219999999999999
np,i,-0.15540000000000001,0.15540000000000001
np,si,-0.43669999999999998,0.43669999999999998
n4,n4,0.25,0.25
n4,nt,0.28420000000000001,-0.034200000000000001
n4,o,0.1245,0.1255
n4,oh,0.024199999999999999,0.2258
n4,oz,0.1245,0.1255
n4,op,0.34179999999999999,-0.091800000000000007
n4,o',0.34179999999999999,-0.091800000000000007
n4,s,-0.025700000000000001,0.2757
n4,sh,-0.072300000000000003,0.32229999999999998
n4,sp,0.015900000000000001,0.2341
n4,s',0.015900000000000001,0.2341
n4,p,-0.19939999999999999,0.44940000000000002
n4,h,-0.1978,0.44779999999999998
n4,f,0.24379999999999999,0.0061999999999999998
n4,cl,0.064199999999999993,0.18579999999999999
n4,br,0.0047999999999999996,0.2452
n4,i,-0.0114,0.26140000000000002
n4,si,-0.30830000000000002,0.55830000000000002
nt,nt,0,0
nt,o,-0.15229999999999999,0.15229999999999999
nt,oh,-0.249,0.249
nt,oz,-0.15229999999999999,0.15229999999999999
nt,op,0.058500000000000003,-0.058500000000000003
nt,o',0.058500000000000003,-0.058500000000000003
nt,s,-0.30099999999999999,0.30099999999999999
nt,sh,-0.34570000000000001,0.34570000000000001
nt,sp,-0.26119999999999999,0.26119999999999999
nt,s',-0.26119999999999999,0.26119999999999999
nt,p,-0.46910000000000002,0.46910000000000002
nt,h,-0.46879999999999999,0.46879999999999999
nt,f,-0.036700000000000003,0.036700000000000003
nt,cl,-0.21410000000000001,0.21410000000000001
nt,br,-0.2727,0.2727
nt,i,-0.28889999999999999,0.28889999999999999
nt,si,-0.57379999999999998,0.57379999999999998
o,o,0,0
o,oh,-0.092100000000000001,0.092100000000000001
o,oz,0,0
o,op,0.19620000000000001,-0.19620000000000001
o,s,-0.1143,0.1143
o,sh,-0.1565,0.1565
o,sp,-0.076600000000000001,0.076600000000000001
o,s',-0.076600000000000001,0.076600000000000001
o,p,-0.34999999999999998,0.34999999999999998
o,h,-0.2432,0.2432
o,f,0.1077,-0.1077
o,cl,-0.036700000000000003,0.036700000000000003
o,br,-0.081799999999999998,0.081799999999999998
o,i,-0.092399999999999996,0.092399999999999996
o,si,-0.14999999999999999,0.14999999999999999
oh,oh,0,0
oh,oz,0.092100000000000001,-0.092100000000000001
oh,op,0.2853,-0.2853
oh,s,-0.0063,0.0063
oh,sh,-0.048500000000000001,0.048500000000000001
oh,sp,0.031300000000000001,-0.031300000000000001
oh,s',0.031300000000000001,-0.031300000000000001
oh,p,-0.14999999999999999,0.14999999999999999
oh,h,-0.11899999999999999,0.11899999999999999
oh,f,0.1983,-0.1983
oh,cl,0.068599999999999994,-0.068599999999999994
oh,br,0.029499999999999998,-0.029499999999999998
oh,i,0.021600000000000001,-0.021600000000000001
oh,si,-0.21879999999999999,0.21879999999999999
