t1,t2,delta_ij,delta_ji
c=1,n=1,0.29999999999999999,-0.29999999999999999
c=1,n=2,0.29999999999999999,-0.29999999999999999
c=1,na,0,0
c=1,nh,0,0
c=1,nn,0,0
c=1,np,0,0
c=1,o,0.026499999999999999,-0.026499999999999999
c=1,o_1,0.35830000000000001,-0.35830000000000001
c=1,op,0.35830000000000001,-0.35830000000000001
c=1,p,-0.037999999999999999,0.037999999999999999
c=1,s,-0.012,0.012
c=1,s',0.073200000000000001,-0.073200000000000001
c=1,si,-0.22700000000000001,0.22700000000000001
c=1,sp,0.073200000000000001,-0.073200000000000001
c=2,c=2,0,0
c=2,c_0,0,0
c=2,c_1,0,0
c=2,cl,0.10199999999999999,-0.10199999999999999
c=2,cp,0,0
c=2,ct,0.085199999999999998,-0.085199999999999998
c=2,f,0.13,-0.13
c=2,h,-0.1268,0.1268
c=2,i,0.064199999999999993,-0.064199999999999993
c=2,n,0,0
c=2,n+,0.2989,-0.048899999999999999
c=2,n=,0.29999999999999999,-0.29999999999999999
c=2,n=1,0.29999999999999999,-0.29999999999999999
c=2,n=2,0.29999999999999999,-0.29999999999999999
c=2,n_2,0.10000000000000001,-0.10000000000000001
c=2,na,0,0
c=2,nh,0,0
c=2,nn,0,0
c=2,np,0,0
c=2,o,0.026499999999999999,-0.026499999999999999
c=2,o=,0.12,-0.12
c=2,o_1,0.35830000000000001,-0.35830000000000001
c=2,op,0.35830000000000001,-0.35830000000000001
c=2,p,-0.037999999999999999,0.037999999999999999
c=2,s,-0.012,0.012
c=2,s',0.073200000000000001,-0.073200000000000001
c=2,si,-0.22700000000000001,0.22700000000000001
c=2,sp,0.073200000000000001,-0.073200000000000001
c_0,c_0,0,0
c_0,c_1,0,0
c_0,cl,0.10199999999999999,-0.10199999999999999
c_0,cp,0,0
c_0,ct,-0.092700000000000005,0.092700000000000005
c_0,f,0.13,-0.13
c_0,h,-0.045600000000000002,0.045600000000000002
c_0,i,-0.12909999999999999,0.12909999999999999
c_0,n,0,0
c_0,n+,0.1331,0.1169
c_0,n=,0.036200000000000003,-0.036200000000000003
c_0,n=1,0.036200000000000003,-0.036200000000000003
c_0,n=2,0.036200000000000003,-0.036200000000000003
c_0,nh,-0.14219999999999999,0.14219999999999999
c_0,nn,0.036200000000000003,-0.036200000000000003
c_0,np,0.036200000000000003,-0.036200000000000003
c_0,nt,0.1641,-0.1641
c_0,o,0.0030000000000000001,-0.0030000000000000001
c_0,o_1,0.39639999999999997,-0.39639999999999997
c_0,op,0.028299999999999999,-0.028299999999999999
c_0,p,-0.23960000000000001,0.23960000000000001
c_0,s,-0.014,0.014
c_0,s',0,0
c_0,si,-0.4405,0.4405
c_0,sp,-0.012999999999999999,0.012999999999999999
c_1,c_1,0,0
c_1,cl,0.10199999999999999,-0.10199999999999999
c_1,cp,0.017999999999999999,-0.017999999999999999
c_1,cp,0,0
c_1,ct,-0.092700000000000005,0.092700000000000005
c_1,f,0.13,-0.13
c_1,h,-0.045600000000000002,0.045600000000000002
c_1,i,-0.12909999999999999,0.12909999999999999
c_1,n,0,0
c_1,n+,0.1331,0.1169
c_1,n=,0.036200000000000003,-0.036200000000000003
c_1,n=1,0.036200000000000003,-0.036200000000000003
c_1,n=2,0.036200000000000003,-0.036200000000000003
c_1,n_2,0.111,-0.111
c_1,nh,-0.14219999999999999,0.14219999999999999
c_1,nn,0.036200000000000003,-0.036200000000000003
c_1,np,0.036200000000000003,-0.036200000000000003
c_1,nt,0.1641,-0.1641
c_1,o,0.0030000000000000001,-0.0030000000000000001
c_1,o_1,0.53100000000000003,-0.53100000000000003
c_1,o_2,0.17100000000000001,-0.17100000000000001
c_1,op,0.028299999999999999,-0.028299999999999999
c_1,p,-0.23960000000000001,0.23960000000000001
c_1,s,-0.014,0.014
c_1,s',0,0
c_1,si,-0.4405,0.4405
c_1,sp,-0.012999999999999999,0.012999999999999999
c_2,n_2,0.111,-0.111
c_2,o_1,0.58499999999999996,-0.58499999999999996
c_2,o_2,0.189,-0.189
cl,cl,0,0
cl,cp,-0.10199999999999999,0.10199999999999999
cl,ct,-0.031899999999999998,0.031899999999999998
cl,f,0.15890000000000001,-0.15890000000000001
cl,h,-0.2404,0.2404
cl,i,-0.062300000000000001,0.062300000000000001
cl,n,0.089700000000000002,-0.089700000000000002
cl,n+,0.18579999999999999,0.064199999999999993
cl,n=,0.089700000000000002,-0.089700000000000002
cl,n=1,0.089700000000000002,-0.089700000000000002
cl,n=2,0.089700000000000002,-0.089700000000000002
cl,na,0.0117,-0.0117
cl,nh,-0.085400000000000004,0.085400000000000004
cl,nn,0.089700000000000002,-0.089700000000000002
cl,np,0.089700000000000002,-0.089700000000000002
cl,o,0.036700000000000003,-0.036700000000000003
cl,op,0.25850000000000001,-0.25850000000000001
cl,p,-0.25440000000000002,0.25440000000000002
cl,p=,-0.12,0.12
cl,s,-0.089800000000000005,0.089800000000000005
